passage_id,page_number,verdict
PS-01,1,WHOLLY_ON_PAGE
PS-02,1,STRADDLES_BREAK
PS-03,2,WHOLLY_ON_PAGE
PS-04,2,EDIT_DEFERRED
PS-05,3,WHOLLY_ON_PAGE
PS-06,3,EDIT_DEFERRED
PS-07,3,LENGTH_FLOORED
PS-08,3,STRADDLES_BREAK
PS-09,4,WHOLLY_ON_PAGE
PS-10,4,STRADDLES_BREAK
PS-11,5,WHOLLY_ON_PAGE
PS-12,5,STRADDLES_BREAK
PS-13,6,WHOLLY_ON_PAGE
PS-14,6,STRADDLES_BREAK
PS-15,7,WHOLLY_ON_PAGE
PS-16,7,STRADDLES_BREAK
PS-17,8,WHOLLY_ON_PAGE
PS-18,8,EDIT_DEFERRED
PS-19,9,EDIT_DEFERRED
PS-20,9,STRADDLES_BREAK
PS-21,10,WHOLLY_ON_PAGE
PS-22,10,STRADDLES_BREAK
PS-23,11,WHOLLY_ON_PAGE
PS-24,11,EDIT_DEFERRED
PS-25,12,WHOLLY_ON_PAGE
PS-26,12,WHOLLY_ON_PAGE
PS-27,13,WHOLLY_ON_PAGE
PS-28,13,WHOLLY_ON_PAGE
PS-29,13,STRADDLES_BREAK
PS-30,14,WHOLLY_ON_PAGE
